Country/Region;Province/State;01.01.2023;01.02.2023;01.03.2023;01.04.2023;01.05.2023;01.06.2023;01.07.2023;01.08.2023;01.09.2023;01.10.2023;01.11.2023;01.12.2023;1/13/23;1/14/23;1/15/23;1/16/23;1/17/23;1/18/23;1/19/23;1/20/23;1/21/23;1/22/23;1/23/23;1/24/23;1/25/23;1/26/23;1/27/23;1/28/23;1/29/23;1/30/23;1/31/23;02.01.2023;02.02.2023;02.03.2023;02.04.2023;02.05.2023;02.06.2023;02.07.2023;02.08.2023;02.09.2023;02.10.2023;02.11.2023;02.12.2023;2/13/23;2/14/23;2/15/23;2/16/23;2/17/23;2/18/23;2/19/23;2/20/23;2/21/23;2/22/23;2/23/23;2/24/23;2/25/23;2/26/23;2/27/23;2/28/23;03.01.2023;03.02.2023;03.03.2023;03.04.2023;03.05.2023;03.06.2023;03.07.2023;03.08.2023;03.09.2023;
Taiwan*;;15273;15299;15321;15338;15383;15445;15506;15542;15582;15608;15654;15702;15755;15802;15833;15873;15903;15929;15977;16038;16071;16098;16122;16146;16168;16189;16204;16224;16246;16276;16308;16356;16430;16535;16614;16687;16750;16795;16849;16894;16964;17046;17103;17157;17193;17258;17319;17397;17452;17520;17564;17608;17672;17672;17672;17672;17672;17672;17672;17672;17672;17672;17672;17672;17672;17672;17672;17672;
Tajikistan;;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;125;
Tanzania;;845;845;845;845;845;845;845;845;845;845;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;846;
Thailand;;33669;33669;33669;33669;33669;33669;33669;33727;33727;33727;33727;33727;33727;33727;33792;33792;33792;33792;33792;33792;33792;33792;33836;33836;33836;33836;33836;33836;33865;33865;33865;33865;33865;33865;33865;33882;33882;33882;33882;33882;33882;33882;33894;33894;33894;33894;33894;33894;33894;33902;33902;33902;33902;33902;33902;33902;33911;33911;33911;33911;33911;33911;33911;33918;33918;33918;33918;33918;
Timor-Leste;;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;
Togo;;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;290;
Tonga;;12;12;12;12;12;12;12;12;12;12;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;
Trinidad and Tobago;;4283;4283;4289;4289;4289;4289;4289;4289;4289;4297;4297;4297;4297;4297;4297;4297;4309;4309;4309;4309;4309;4309;4309;4319;4319;4319;4319;4319;4319;4319;4326;4326;4326;4326;4326;4326;4326;4326;4326;4326;4326;4331;4331;4331;4336;4336;4336;4336;4336;4336;4336;4339;4339;4339;4339;4339;4339;4339;4347;4347;4347;4347;4347;4347;4347;4355;4355;4355;
Tunisia;;29284;29284;29284;29285;29285;29285;29285;29285;29285;29288;29288;29288;29288;29288;29288;29288;29291;29291;29291;29291;29291;29291;29291;29302;29302;29302;29302;29302;29302;29302;29308;29308;29308;29308;29308;29308;29308;29312;29312;29312;29312;29312;29312;29312;29326;29326;29326;29326;29326;29326;29326;29330;29330;29330;29330;29330;29330;29330;29331;29331;29331;29331;29331;29331;29331;29341;29341;29341;
Turkey;;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;101492;
